path,knowledge,similarQuestion,Answer
通用/SWC,医务室电话，校医室电话,校医办公室在哪里？校医电话多少？医务室联系方式,"<div id=""se-knowledge""><p>校医室办公室在221旁边的玻璃房，电话66618471</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
通用/SWC,宿管办公室，宿管办公室电话,宿管电话是多少？,"<div id=""se-knowledge""><p>梅沙一号：66618477<br>盐体运动员公寓：25164265／22744262<br>天琴湾公寓：25000923</p><link rel=""stylesheet"" href=""//g.alicdn.com/ikc-fe/kc-editor-theme/pc.css""></div>"
通用/GAO,总务报修,"人员出入如何报备？
如何报修？
需要清洁怎么办？",? 打开工作台<br/>? 点击“审批”<br/>? 选择“总务事件单”<br/>? 选择事件类别，填写相关信息<br/>? 点击“提交”<br/>
通用/GAO,失物招领在哪里？,物品丢失在哪里找？,请至202监控中心
通用/GAO,海报怎么申请张贴？,如何张贴海报？,请至525办公室联系周小伟老师
通用/GAO,活动场地布置怎么申请？,活动场地布置怎么申请？,推送总务事件单
通用/GAO,办公用品领用,办公用品如何领用？,推送办公用品领用功能
通用/GAO,如何报修？,教室报修,推送办公用品领用功能
通用/GAO,如何找寻清洁？,如何找寻保洁阿姨？,推送总务事件单
通用/ETO,ETO办公室,ETO办公室在哪里,VMA522
通用/ETO,修改昵称,钉钉昵称怎么修改,依次点击“我的”—“设置”—“我的信息”—“昵称”
通用/ETO,建立群组,如何建立钉钉群组, 打开手机钉钉右上角“+”图标<br/> 选择“发起群聊”<br/> 搜索想要拉入群的人员—点击确定即可
通用/ETO,群设置,钉钉群设置在哪里,? 群主可在群里点击右上角“…”符号<br/>? 可直接设置群名称，使用群二维码邀请好友，打开消息置顶或免打扰，以及修改自己的群昵称<br/>? 点击群管理可设置群管理员，设置群禁言以及新成员可查看聊天记录等各种权限。<br/>
通用/ETO,公告查看及发布,"如何发布公告？
如何查看公告？",1， 进入工作台<br/>2， 点击公告<br/>3， 编写公告并选择所能查阅通告的人员或角色或部门。<br/>4， 发布公告。<br/>
通用/ETO,会议室预定,如何订会议室？,? 进入工作台（页面下方中间VMA图标）<br/>? 进入智能会议室<br/>? 点击预约会议室<br/>? 选择所要使用的房间以及时间<br/>? 预约完成可以通知参会人<br/>? 选择参会人或部门，点击完成<br/>
通用/ETO,会议发起,如何发起日程？,? 进入Ding（页面下方菜单DING图标）<br/>? 点击右下角+号<br/>? 发起一个日程<br/>? 输入相关会议信息，可选择会议室，参会时间和人员，以及上传相关附件<br/>? 会议发起人可提前打开会议点击签到。可手动点击人员签到或者投屏二维码由参会人员扫码签到。<br/>? 会议期间可在日程中找到会议并做会议记录。<br/>
通用/ETO,任务管理,如何建立任务？,? 进入Ding（页面下方菜单DING图标）<br/>? 选择日期可查看自己的日程<br/>? 可在右下角+号处添加任务或新的会议日程。<br/>? 每项任务可进去添加子任务或点击完成。<br/>
通用/ETO,文件上传及权限管理,文件上传和共享,? 打开钉盘<br/>? 选择“我的文件”—“上传/新建”创建自己分类的文件夹<br/>? 上传文件<br/>? 文件分享<br/>
