path,knowledge,Answer
通用/SWC,医务室电话,校医室办公室在221旁边的玻璃房，电话66618471
通用/SWC,校医办公室在哪里？,校医室办公室在221旁边的玻璃房，电话66618471
通用/SWC,校医电话多少？,校医室办公室在221旁边的玻璃房，电话66618471
通用/SWC,医务室联系方式,校医室办公室在221旁边的玻璃房，电话66618471
通用/SWC,宿管办公室电话是多少？,梅沙一号：66618477 盐体运动员公寓：25164265／22744262天琴湾公寓：25000923
通用/GAO,总务如何报修？,需要清洁怎么办？ 打开工作台，点击“审批”，选择“总务事件单” 选择事件类别，填写相关信息 点击“提交”
通用/GAO,总务如何报修？,需要清洁怎么办？ 打开工作台，点击“审批”，选择“总务事件单” 选择事件类别，填写相关信息 点击“提交”
通用/GAO,失物招领在哪里？,请至202监控中心
通用/GAO,海报怎么申请张贴？,请至525办公室联系周小伟老师
通用/GAO,活动场地布置怎么申请？,推送总务事件单
通用/GAO,办公用品领用,推送办公用品领用功能
